GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more person household
1400000US08031000101,08031000101,"Census Tract 1.01, Denver County, Colorado",1137,388,385,163,103,62,25,11
1400000US08031000102,08031000102,"Census Tract 1.02, Denver County, Colorado",1502,523,514,222,126,71,22,24
1400000US08031000201,08031000201,"Census Tract 2.01, Denver County, Colorado",1500,431,399,226,186,126,71,61
1400000US08031000202,08031000202,"Census Tract 2.02, Denver County, Colorado",1553,369,464,252,185,139,77,67
1400000US08031000301,08031000301,"Census Tract 3.01, Denver County, Colorado",2384,906,772,330,201,101,39,35
1400000US08031000302,08031000302,"Census Tract 3.02, Denver County, Colorado",1718,628,643,242,119,51,25,10
1400000US08031000303,08031000303,"Census Tract 3.03, Denver County, Colorado",2226,883,799,266,150,62,31,35
1400000US08031000401,08031000401,"Census Tract 4.01, Denver County, Colorado",1372,396,391,234,163,85,41,62
1400000US08031000402,08031000402,"Census Tract 4.02, Denver County, Colorado",2503,838,667,360,287,177,85,89
1400000US08031000501,08031000501,"Census Tract 5.01, Denver County, Colorado",943,351,376,108,64,25,8,11
1400000US08031000502,08031000502,"Census Tract 5.02, Denver County, Colorado",2649,1011,783,373,249,123,63,47
1400000US08031000600,08031000600,"Census Tract 6, Denver County, Colorado",1065,255,232,187,152,127,51,61
1400000US08031000701,08031000701,"Census Tract 7.01, Denver County, Colorado",1648,658,346,210,166,110,75,83
1400000US08031000702,08031000702,"Census Tract 7.02, Denver County, Colorado",1933,432,414,373,268,196,117,133
1400000US08031000800,08031000800,"Census Tract 8, Denver County, Colorado",449,59,101,123,67,54,17,28
1400000US08031000902,08031000902,"Census Tract 9.02, Denver County, Colorado",1788,396,497,287,233,162,88,125
1400000US08031000903,08031000903,"Census Tract 9.03, Denver County, Colorado",1811,392,406,272,269,228,96,148
1400000US08031000904,08031000904,"Census Tract 9.04, Denver County, Colorado",1717,436,302,293,271,167,126,122
1400000US08031000905,08031000905,"Census Tract 9.05, Denver County, Colorado",1185,201,261,159,193,146,102,123
1400000US08031001000,08031001000,"Census Tract 10, Denver County, Colorado",1225,249,303,205,181,126,81,80
1400000US08031001101,08031001101,"Census Tract 11.01, Denver County, Colorado",942,160,238,146,137,105,76,80
1400000US08031001102,08031001102,"Census Tract 11.02, Denver County, Colorado",1092,294,279,155,144,83,59,78
1400000US08031001301,08031001301,"Census Tract 13.01, Denver County, Colorado",1587,338,431,270,227,164,80,77
1400000US08031001302,08031001302,"Census Tract 13.02, Denver County, Colorado",1293,318,373,202,166,112,53,69
1400000US08031001401,08031001401,"Census Tract 14.01, Denver County, Colorado",2021,638,494,282,245,161,102,99
1400000US08031001402,08031001402,"Census Tract 14.02, Denver County, Colorado",1379,361,358,202,193,126,72,67
1400000US08031001403,08031001403,"Census Tract 14.03, Denver County, Colorado",874,287,302,132,74,41,13,25
1400000US08031001500,08031001500,"Census Tract 15, Denver County, Colorado",911,175,181,131,156,104,82,82
1400000US08031001600,08031001600,"Census Tract 16, Denver County, Colorado",959,383,236,102,84,75,36,43
1400000US08031001701,08031001701,"Census Tract 17.01, Denver County, Colorado",1588,1073,463,43,7,1,1,0
1400000US08031001702,08031001702,"Census Tract 17.02, Denver County, Colorado",1421,1026,352,34,6,2,1,0
1400000US08031001800,08031001800,"Census Tract 18, Denver County, Colorado",1718,797,555,136,92,63,37,38
1400000US08031001900,08031001900,"Census Tract 19, Denver County, Colorado",996,256,248,183,130,87,44,48
1400000US08031002000,08031002000,"Census Tract 20, Denver County, Colorado",400,271,107,13,6,1,0,2
1400000US08031002100,08031002100,"Census Tract 21, Denver County, Colorado",2421,1036,668,257,178,105,74,103
1400000US08031002300,08031002300,"Census Tract 23, Denver County, Colorado",1927,504,595,333,187,135,78,95
1400000US08031002402,08031002402,"Census Tract 24.02, Denver County, Colorado",711,291,199,109,53,34,10,15
1400000US08031002403,08031002403,"Census Tract 24.03, Denver County, Colorado",1591,730,365,184,130,89,44,49
1400000US08031002601,08031002601,"Census Tract 26.01, Denver County, Colorado",1468,1065,317,48,17,13,3,5
1400000US08031002602,08031002602,"Census Tract 26.02, Denver County, Colorado",917,567,231,59,26,17,6,11
1400000US08031002701,08031002701,"Census Tract 27.01, Denver County, Colorado",3406,2573,721,74,19,10,6,3
1400000US08031002702,08031002702,"Census Tract 27.02, Denver County, Colorado",3654,2540,945,123,28,9,7,2
1400000US08031002703,08031002703,"Census Tract 27.03, Denver County, Colorado",3569,2439,858,168,63,20,9,12
1400000US08031002801,08031002801,"Census Tract 28.01, Denver County, Colorado",1679,925,555,127,49,15,5,3
1400000US08031002802,08031002802,"Census Tract 28.02, Denver County, Colorado",2717,1544,787,231,104,29,14,8
1400000US08031002803,08031002803,"Census Tract 28.03, Denver County, Colorado",3017,2107,724,139,39,5,2,1
1400000US08031002901,08031002901,"Census Tract 29.01, Denver County, Colorado",1480,726,499,153,70,19,6,7
1400000US08031002902,08031002902,"Census Tract 29.02, Denver County, Colorado",1900,754,733,245,140,23,5,0
1400000US08031003001,08031003001,"Census Tract 30.01, Denver County, Colorado",2702,1127,927,387,181,58,14,8
1400000US08031003002,08031003002,"Census Tract 30.02, Denver County, Colorado",1295,552,456,174,69,31,9,4
1400000US08031003003,08031003003,"Census Tract 30.03, Denver County, Colorado",1244,596,399,148,67,25,7,2
1400000US08031003004,08031003004,"Census Tract 30.04, Denver County, Colorado",2680,1177,962,322,153,48,14,4
1400000US08031003101,08031003101,"Census Tract 31.01, Denver County, Colorado",725,301,224,94,66,19,10,11
1400000US08031003102,08031003102,"Census Tract 31.02, Denver County, Colorado",1524,977,356,125,41,15,5,5
1400000US08031003201,08031003201,"Census Tract 32.01, Denver County, Colorado",3516,2258,959,195,70,17,10,7
1400000US08031003202,08031003202,"Census Tract 32.02, Denver County, Colorado",1982,1290,588,53,35,11,2,3
1400000US08031003203,08031003203,"Census Tract 32.03, Denver County, Colorado",1321,380,536,193,148,44,15,5
1400000US08031003300,08031003300,"Census Tract 33, Denver County, Colorado",1294,415,511,186,138,32,8,4
1400000US08031003401,08031003401,"Census Tract 34.01, Denver County, Colorado",1364,651,519,121,56,14,1,2
1400000US08031003402,08031003402,"Census Tract 34.02, Denver County, Colorado",2026,666,797,309,200,41,11,2
1400000US08031003500,08031003500,"Census Tract 35, Denver County, Colorado",1741,265,313,271,282,258,158,194
1400000US08031003601,08031003601,"Census Tract 36.01, Denver County, Colorado",1632,350,331,247,232,202,116,154
1400000US08031003602,08031003602,"Census Tract 36.02, Denver County, Colorado",1522,350,359,201,206,148,119,139
1400000US08031003603,08031003603,"Census Tract 36.03, Denver County, Colorado",1411,544,419,163,126,75,38,46
1400000US08031003701,08031003701,"Census Tract 37.01, Denver County, Colorado",1153,645,350,78,50,24,5,1
1400000US08031003702,08031003702,"Census Tract 37.02, Denver County, Colorado",2738,1651,737,190,113,32,9,6
1400000US08031003703,08031003703,"Census Tract 37.03, Denver County, Colorado",1697,831,569,185,69,28,10,5
1400000US08031003800,08031003800,"Census Tract 38, Denver County, Colorado",3198,1781,1106,233,60,13,4,1
1400000US08031003901,08031003901,"Census Tract 39.01, Denver County, Colorado",1833,620,830,200,140,33,6,4
1400000US08031003902,08031003902,"Census Tract 39.02, Denver County, Colorado",1801,732,712,221,100,26,7,3
1400000US08031004002,08031004002,"Census Tract 40.02, Denver County, Colorado",1351,396,554,172,164,50,10,5
1400000US08031004003,08031004003,"Census Tract 40.03, Denver County, Colorado",1961,658,764,279,172,56,22,10
1400000US08031004004,08031004004,"Census Tract 40.04, Denver County, Colorado",832,278,356,119,58,15,3,3
1400000US08031004005,08031004005,"Census Tract 40.05, Denver County, Colorado",1561,892,410,147,76,24,7,5
1400000US08031004006,08031004006,"Census Tract 40.06, Denver County, Colorado",1996,836,658,220,203,56,17,6
1400000US08031004101,08031004101,"Census Tract 41.01, Denver County, Colorado",1188,360,309,204,131,94,50,40
1400000US08031004102,08031004102,"Census Tract 41.02, Denver County, Colorado",1445,327,407,259,185,136,55,76
1400000US08031004103,08031004103,"Census Tract 41.03, Denver County, Colorado",2116,530,764,387,248,112,41,34
1400000US08031004104,08031004104,"Census Tract 41.04, Denver County, Colorado",1828,490,580,312,236,105,64,41
1400000US08031004105,08031004105,"Census Tract 41.05, Denver County, Colorado",3,2,1,0,0,0,0,0
1400000US08031004201,08031004201,"Census Tract 42.01, Denver County, Colorado",1899,517,666,339,272,69,21,15
1400000US08031004202,08031004202,"Census Tract 42.02, Denver County, Colorado",1745,541,656,282,179,58,19,10
1400000US08031004301,08031004301,"Census Tract 43.01, Denver County, Colorado",2948,1644,875,234,145,39,8,3
1400000US08031004302,08031004302,"Census Tract 43.02, Denver County, Colorado",1233,484,440,188,89,19,9,4
1400000US08031004303,08031004303,"Census Tract 43.03, Denver County, Colorado",1579,352,633,239,236,94,20,5
1400000US08031004304,08031004304,"Census Tract 43.04, Denver County, Colorado",2739,1112,1017,335,192,59,16,8
1400000US08031004306,08031004306,"Census Tract 43.06, Denver County, Colorado",2098,736,743,246,216,101,38,18
1400000US08031004403,08031004403,"Census Tract 44.03, Denver County, Colorado",1870,565,513,276,233,144,62,77
1400000US08031004404,08031004404,"Census Tract 44.04, Denver County, Colorado",2193,831,622,325,219,109,42,45
1400000US08031004405,08031004405,"Census Tract 44.05, Denver County, Colorado",823,268,238,131,106,47,20,13
1400000US08031004501,08031004501,"Census Tract 45.01, Denver County, Colorado",2137,408,475,344,349,240,138,183
1400000US08031004502,08031004502,"Census Tract 45.02, Denver County, Colorado",2117,332,453,340,366,269,159,198
1400000US08031004601,08031004601,"Census Tract 46.01, Denver County, Colorado",1863,423,590,289,268,148,83,62
1400000US08031004602,08031004602,"Census Tract 46.02, Denver County, Colorado",2255,561,564,388,321,188,120,113
1400000US08031004603,08031004603,"Census Tract 46.03, Denver County, Colorado",1941,515,564,333,260,132,72,65
1400000US08031004700,08031004700,"Census Tract 47, Denver County, Colorado",2229,570,740,359,293,143,57,67
1400000US08031004801,08031004801,"Census Tract 48.01, Denver County, Colorado",1064,206,403,169,150,86,33,17
1400000US08031004802,08031004802,"Census Tract 48.02, Denver County, Colorado",2248,740,686,359,279,114,41,29
1400000US08031004900,08031004900,"Census Tract 49, Denver County, Colorado",2110,1125,661,171,105,32,11,5
1400000US08031005001,08031005001,"Census Tract 50.01, Denver County, Colorado",1012,301,356,174,93,45,26,17
1400000US08031005002,08031005002,"Census Tract 50.02, Denver County, Colorado",3525,1528,1210,411,255,84,22,15
1400000US08031005102,08031005102,"Census Tract 51.02, Denver County, Colorado",1578,525,603,223,139,54,23,11
1400000US08031005103,08031005103,"Census Tract 51.03, Denver County, Colorado",1776,794,521,217,140,48,32,24
1400000US08031005104,08031005104,"Census Tract 51.04, Denver County, Colorado",1622,842,477,131,98,49,12,13
1400000US08031005200,08031005200,"Census Tract 52, Denver County, Colorado",1347,349,535,212,166,51,22,12
1400000US08031005300,08031005300,"Census Tract 53, Denver County, Colorado",627,292,188,75,41,21,5,5
1400000US08031005400,08031005400,"Census Tract 54, Denver County, Colorado",1847,392,438,333,280,193,101,110
1400000US08031005502,08031005502,"Census Tract 55.02, Denver County, Colorado",584,160,226,103,64,15,9,7
1400000US08031005503,08031005503,"Census Tract 55.03, Denver County, Colorado",1791,349,677,316,269,110,43,27
1400000US08031006701,08031006701,"Census Tract 67.01, Denver County, Colorado",706,362,279,48,13,2,2,0
1400000US08031006804,08031006804,"Census Tract 68.04, Denver County, Colorado",955,389,417,77,53,15,3,1
1400000US08031006809,08031006809,"Census Tract 68.09, Denver County, Colorado",3351,1391,1216,356,259,93,28,8
1400000US08031006810,08031006810,"Census Tract 68.10, Denver County, Colorado",2583,1039,923,329,200,65,15,12
1400000US08031006811,08031006811,"Census Tract 68.11, Denver County, Colorado",3322,1523,1088,359,238,80,23,11
1400000US08031006812,08031006812,"Census Tract 68.12, Denver County, Colorado",1791,858,666,132,97,27,7,4
1400000US08031006813,08031006813,"Census Tract 68.13, Denver County, Colorado",2240,1242,737,189,47,17,6,2
1400000US08031006814,08031006814,"Census Tract 68.14, Denver County, Colorado",2509,822,910,375,262,84,39,17
1400000US08031006901,08031006901,"Census Tract 69.01, Denver County, Colorado",2840,1358,908,276,160,80,37,21
1400000US08031007006,08031007006,"Census Tract 70.06, Denver County, Colorado",2051,1139,628,175,82,19,6,2
1400000US08031007013,08031007013,"Census Tract 70.13, Denver County, Colorado",1967,985,697,203,66,11,3,2
1400000US08031007037,08031007037,"Census Tract 70.37, Denver County, Colorado",1539,517,411,224,187,108,48,44
1400000US08031007088,08031007088,"Census Tract 70.88, Denver County, Colorado",2685,1333,996,211,94,32,13,6
1400000US08031007089,08031007089,"Census Tract 70.89, Denver County, Colorado",2969,2032,858,60,12,6,1,0
1400000US08031008303,08031008303,"Census Tract 83.03, Denver County, Colorado",3109,548,978,636,576,232,84,55
1400000US08031008304,08031008304,"Census Tract 83.04, Denver County, Colorado",902,101,196,170,140,131,70,94
1400000US08031008305,08031008305,"Census Tract 83.05, Denver County, Colorado",964,105,191,153,169,121,80,145
1400000US08031008306,08031008306,"Census Tract 83.06, Denver County, Colorado",1764,288,468,324,285,191,99,109
1400000US08031008311,08031008311,"Census Tract 83.11, Denver County, Colorado",2485,304,571,504,516,280,136,174
1400000US08031008312,08031008312,"Census Tract 83.12, Denver County, Colorado",1857,302,450,374,327,214,86,104
1400000US08031008313,08031008313,"Census Tract 83.13, Denver County, Colorado",2,1,0,1,0,0,0,0
1400000US08031010601,08031010601,"Census Tract 106.01, Denver County, Colorado",512,224,152,60,43,13,13,7
1400000US08031011902,08031011902,"Census Tract 119.02, Denver County, Colorado",2449,816,909,320,264,89,32,19
1400000US08031011903,08031011903,"Census Tract 119.03, Denver County, Colorado",906,247,360,118,103,47,17,14
1400000US08031012001,08031012001,"Census Tract 120.01, Denver County, Colorado",904,262,414,105,77,34,9,3
1400000US08031012010,08031012010,"Census Tract 120.10, Denver County, Colorado",2439,881,1009,269,190,61,20,9
1400000US08031012014,08031012014,"Census Tract 120.14, Denver County, Colorado",2008,605,611,328,329,91,36,8
