GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - 2-person household,Margin of Error; Family households: - 2-person household,Estimate; Family households: - 3-person household,Margin of Error; Family households: - 3-person household,Estimate; Family households: - 4-person household,Margin of Error; Family households: - 4-person household,Estimate; Family households: - 5-person household,Margin of Error; Family households: - 5-person household,Estimate; Family households: - 6-person household,Margin of Error; Family households: - 6-person household,Estimate; Family households: - 7-or-more person household,Margin of Error; Family households: - 7-or-more person household,Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - 1-person household,Margin of Error; Nonfamily households: - 1-person household,Estimate; Nonfamily households: - 2-person household,Margin of Error; Nonfamily households: - 2-person household,Estimate; Nonfamily households: - 3-person household,Margin of Error; Nonfamily households: - 3-person household,Estimate; Nonfamily households: - 4-person household,Margin of Error; Nonfamily households: - 4-person household,Estimate; Nonfamily households: - 5-person household,Margin of Error; Nonfamily households: - 5-person household,Estimate; Nonfamily households: - 6-person household,Margin of Error; Nonfamily households: - 6-person household,Estimate; Nonfamily households: - 7-or-more person household,Margin of Error; Nonfamily households: - 7-or-more person household
1400000US08031000102,08031000102,"Census Tract 1.02, Denver County, Colorado",1467,106,730,105,451,93,210,71,40,34,29,27,0,92,0,92,737,116,479,114,249,79,0,92,9,14,0,92,0,92,0,92
1400000US08031000201,08031000201,"Census Tract 2.01, Denver County, Colorado",1474,74,921,105,410,128,240,110,104,69,75,62,47,54,45,54,553,103,434,97,119,66,0,92,0,92,0,92,0,92,0,92
1400000US08031000202,08031000202,"Census Tract 2.02, Denver County, Colorado",1520,96,835,135,304,84,252,94,90,53,89,65,81,65,19,22,685,154,492,131,176,82,17,20,0,92,0,92,0,92,0,92
1400000US08031000301,08031000301,"Census Tract 3.01, Denver County, Colorado",2357,125,1115,147,580,149,256,118,224,89,11,18,11,19,33,46,1242,183,1032,161,210,94,0,92,0,92,0,92,0,92,0,92
1400000US08031000302,08031000302,"Census Tract 3.02, Denver County, Colorado",1801,119,965,102,454,108,297,100,147,63,67,39,0,92,0,92,836,140,634,120,202,85,0,92,0,92,0,92,0,92,0,92
1400000US08031000303,08031000303,"Census Tract 3.03, Denver County, Colorado",2237,128,1058,128,634,124,258,102,133,65,33,29,0,92,0,92,1179,162,913,156,203,94,63,90,0,92,0,92,0,92,0,92
1400000US08031000401,08031000401,"Census Tract 4.01, Denver County, Colorado",1468,65,760,132,341,99,249,99,61,39,38,35,59,61,12,18,708,133,425,125,219,88,64,69,0,92,0,92,0,92,0,92
1400000US08031000402,08031000402,"Census Tract 4.02, Denver County, Colorado",2502,205,943,202,474,133,203,113,168,145,51,47,47,75,0,92,1559,265,1144,249,312,126,54,55,49,54,0,92,0,92,0,92
1400000US08031000501,08031000501,"Census Tract 5.01, Denver County, Colorado",965,52,435,72,254,66,92,49,49,35,13,21,27,34,0,92,530,94,359,93,143,70,28,27,0,92,0,92,0,92,0,92
1400000US08031000502,08031000502,"Census Tract 5.02, Denver County, Colorado",2584,159,1201,234,721,179,257,119,211,107,12,21,0,92,0,92,1383,204,1106,190,257,122,20,32,0,92,0,92,0,92,0,92
1400000US08031000600,08031000600,"Census Tract 6, Denver County, Colorado",1050,115,470,101,181,89,153,76,90,63,12,19,34,34,0,92,580,103,436,104,132,72,12,18,0,92,0,92,0,92,0,92
1400000US08031000701,08031000701,"Census Tract 7.01, Denver County, Colorado",1808,78,811,100,352,113,193,80,177,80,50,50,21,24,18,22,997,120,811,104,153,81,27,31,6,10,0,92,0,92,0,92
1400000US08031000702,08031000702,"Census Tract 7.02, Denver County, Colorado",2012,152,998,222,349,131,213,114,302,135,80,77,34,43,20,34,1014,189,715,159,169,88,33,52,72,90,0,92,25,48,0,92
1400000US08031000800,08031000800,"Census Tract 8, Denver County, Colorado",502,30,361,64,113,76,23,33,175,77,50,52,0,92,0,92,141,58,127,54,14,26,0,92,0,92,0,92,0,92,0,92
1400000US08031000902,08031000902,"Census Tract 9.02, Denver County, Colorado",1732,105,1079,153,332,84,167,77,208,88,186,90,76,52,110,68,653,153,525,129,49,39,46,45,8,12,0,92,25,40,0,92
1400000US08031000903,08031000903,"Census Tract 9.03, Denver County, Colorado",1752,121,1241,149,377,100,182,93,354,124,165,80,76,57,87,53,511,141,360,106,151,91,0,92,0,92,0,92,0,92,0,92
1400000US08031000904,08031000904,"Census Tract 9.04, Denver County, Colorado",1807,90,1059,114,310,94,212,87,238,105,150,72,108,64,41,39,748,131,510,113,174,96,46,42,18,30,0,92,0,92,0,92
1400000US08031000905,08031000905,"Census Tract 9.05, Denver County, Colorado",1109,94,700,115,205,73,158,81,145,79,55,49,81,55,56,51,409,106,311,103,40,28,48,46,10,15,0,92,0,92,0,92
1400000US08031001000,08031001000,"Census Tract 10, Denver County, Colorado",1178,74,842,117,190,90,246,105,171,92,86,73,69,57,80,65,336,118,290,95,46,51,0,92,0,92,0,92,0,92,0,92
1400000US08031001101,08031001101,"Census Tract 11.01, Denver County, Colorado",1024,35,576,94,236,89,138,69,65,47,77,48,47,39,13,16,448,97,262,90,172,81,0,92,14,20,0,92,0,92,0,92
1400000US08031001102,08031001102,"Census Tract 11.02, Denver County, Colorado",1385,117,475,104,169,54,119,60,100,58,55,49,24,27,8,13,910,136,691,128,199,82,20,21,0,92,0,92,0,92,0,92
1400000US08031001301,08031001301,"Census Tract 13.01, Denver County, Colorado",1503,101,958,111,251,82,170,65,202,89,202,86,126,77,7,18,545,120,487,115,58,33,0,92,0,92,0,92,0,92,0,92
1400000US08031001302,08031001302,"Census Tract 13.02, Denver County, Colorado",1282,88,821,132,306,100,128,69,171,72,75,55,73,66,68,60,461,126,336,109,79,55,46,50,0,92,0,92,0,92,0,92
1400000US08031001401,08031001401,"Census Tract 14.01, Denver County, Colorado",1879,120,1238,131,370,102,226,78,259,115,199,84,113,75,71,46,641,124,584,128,49,47,8,12,0,92,0,92,0,92,0,92
1400000US08031001402,08031001402,"Census Tract 14.02, Denver County, Colorado",1412,65,801,127,253,97,250,103,83,49,135,88,43,42,37,39,611,107,545,116,21,24,45,56,0,92,0,92,0,92,0,92
1400000US08031001403,08031001403,"Census Tract 14.03, Denver County, Colorado",1115,81,387,121,216,96,85,83,69,61,13,18,4,18,0,92,728,137,587,119,115,76,26,33,0,92,0,92,0,92,0,92
1400000US08031001500,08031001500,"Census Tract 15, Denver County, Colorado",1008,99,617,87,249,75,28,33,128,71,121,50,35,36,56,48,391,107,343,109,48,36,0,92,0,92,0,92,0,92,0,92
1400000US08031001600,08031001600,"Census Tract 16, Denver County, Colorado",3395,239,1062,258,692,246,200,108,109,86,19,27,0,92,42,50,2333,277,1573,256,698,204,62,74,0,92,0,92,0,92,0,92
1400000US08031001701,08031001701,"Census Tract 17.01, Denver County, Colorado",2910,169,746,135,645,135,101,21,0,92,0,92,0,92,0,92,2164,204,1714,235,422,175,28,31,0,92,0,92,0,92,0,92
1400000US08031001702,08031001702,"Census Tract 17.02, Denver County, Colorado",1947,198,297,115,297,115,0,92,0,92,0,92,0,92,0,92,1650,223,1344,216,272,156,8,14,26,43,0,92,0,92,0,92
1400000US08031001800,08031001800,"Census Tract 18, Denver County, Colorado",1676,122,560,125,227,83,104,70,164,84,50,47,0,92,15,28,1116,143,720,134,365,89,31,33,0,92,0,92,0,92,0,92
1400000US08031001901,08031001901,"Census Tract 19.01, Denver County, Colorado",1011,59,577,123,221,91,172,86,91,53,47,45,46,47,0,92,434,117,311,101,116,58,6,19,1,8,0,92,0,92,0,92
1400000US08031001902,08031001902,"Census Tract 19.02, Denver County, Colorado",43,24,9,14,9,14,0,92,0,92,0,92,0,92,0,92,34,20,17,15,7,11,0,92,0,92,0,92,0,92,10,15
1400000US08031002000,08031002000,"Census Tract 20, Denver County, Colorado",1083,94,230,92,201,93,11,17,18,4,0,92,0,92,0,92,853,121,776,116,77,42,0,92,0,92,0,92,0,92,0,92
1400000US08031002100,08031002100,"Census Tract 21, Denver County, Colorado",2260,198,788,167,345,117,245,112,0,92,55,54,37,59,106,50,1472,180,978,198,361,118,133,87,0,92,0,92,0,92,0,92
1400000US08031002300,08031002300,"Census Tract 23, Denver County, Colorado",1940,149,1034,142,458,132,322,118,133,57,73,54,38,47,10,21,906,173,731,147,139,72,30,37,6,10,0,92,0,92,0,92
1400000US08031002402,08031002402,"Census Tract 24.02, Denver County, Colorado",728,59,348,63,236,77,58,44,44,25,10,23,0,92,0,92,380,89,298,84,63,38,19,26,0,92,0,92,0,92,0,92
1400000US08031002403,08031002403,"Census Tract 24.03, Denver County, Colorado",1579,170,401,134,182,88,98,65,24,25,97,82,0,92,0,92,1178,178,986,173,128,67,53,56,11,17,0,92,0,92,0,92
1400000US08031002601,08031002601,"Census Tract 26.01, Denver County, Colorado",2229,125,83,54,76,49,7,12,0,92,0,92,0,92,0,92,2146,136,1843,182,303,114,0,92,0,92,0,92,0,92,0,92
1400000US08031002602,08031002602,"Census Tract 26.02, Denver County, Colorado",1421,124,237,84,182,77,37,40,18,29,0,92,0,92,0,92,1184,141,829,142,321,99,24,27,10,17,0,92,0,92,0,92
1400000US08031002701,08031002701,"Census Tract 27.01, Denver County, Colorado",3283,217,247,110,186,97,61,66,0,92,0,92,0,92,0,92,3036,214,2526,230,495,171,15,25,0,92,0,92,0,92,0,92
1400000US08031002702,08031002702,"Census Tract 27.02, Denver County, Colorado",3630,180,572,152,454,145,70,57,27,36,21,21,0,92,0,92,3058,217,2389,249,635,177,0,92,34,52,0,92,0,92,0,92
1400000US08031002703,08031002703,"Census Tract 27.03, Denver County, Colorado",3385,188,436,145,274,127,150,107,9,14,3,19,0,92,0,92,2949,227,2194,230,714,164,41,39,0,92,0,92,0,92,0,92
1400000US08031002801,08031002801,"Census Tract 28.01, Denver County, Colorado",1661,87,447,90,242,76,101,74,94,59,10,19,0,92,0,92,1214,117,733,123,464,119,17,27,0,92,0,92,0,92,0,92
1400000US08031002802,08031002802,"Census Tract 28.02, Denver County, Colorado",2495,225,475,102,306,109,75,57,89,33,5,13,0,92,0,92,2020,217,1416,226,473,139,131,112,0,92,0,92,0,92,0,92
1400000US08031002803,08031002803,"Census Tract 28.03, Denver County, Colorado",2844,179,553,132,402,126,118,66,33,28,0,92,0,92,0,92,2291,200,1949,198,342,118,0,92,0,92,0,92,0,92,0,92
1400000US08031002901,08031002901,"Census Tract 29.01, Denver County, Colorado",1495,61,559,115,313,82,151,81,58,54,37,36,0,92,0,92,936,118,698,112,221,81,17,27,0,92,0,92,0,92,0,92
1400000US08031002902,08031002902,"Census Tract 29.02, Denver County, Colorado",1842,110,935,93,601,92,176,66,134,44,24,22,0,92,0,92,907,121,751,105,147,68,0,92,0,92,9,15,0,92,0,92
1400000US08031003001,08031003001,"Census Tract 30.01, Denver County, Colorado",2682,150,1107,133,642,150,266,84,199,64,0,92,0,92,0,92,1575,214,1014,206,468,141,85,67,8,14,0,92,0,92,0,92
1400000US08031003002,08031003002,"Census Tract 30.02, Denver County, Colorado",1264,81,600,94,291,78,161,62,75,61,38,31,7,12,28,43,664,122,499,108,158,77,7,13,0,92,0,92,0,92,0,92
1400000US08031003003,08031003003,"Census Tract 30.03, Denver County, Colorado",1108,102,309,81,197,72,55,28,57,39,0,92,0,92,0,92,799,110,512,119,200,96,66,61,21,29,0,92,0,92,0,92
1400000US08031003004,08031003004,"Census Tract 30.04, Denver County, Colorado",2198,184,798,144,404,110,215,98,139,68,27,31,13,23,0,92,1400,177,801,190,433,133,110,58,56,59,0,92,0,92,0,92
1400000US08031003101,08031003101,"Census Tract 31.01, Denver County, Colorado",662,82,231,54,97,52,42,31,51,32,41,37,0,92,0,92,431,107,264,99,158,85,9,14,0,92,0,92,0,92,0,92
1400000US08031003102,08031003102,"Census Tract 31.02, Denver County, Colorado",1728,129,297,98,149,74,44,31,60,45,44,55,0,92,0,92,1431,146,1167,148,229,84,26,38,9,14,0,92,0,92,0,92
1400000US08031003201,08031003201,"Census Tract 32.01, Denver County, Colorado",3273,206,451,164,374,159,28,31,49,47,0,92,0,92,0,92,2822,252,2171,229,618,204,16,27,17,28,0,92,0,92,0,92
1400000US08031003202,08031003202,"Census Tract 32.02, Denver County, Colorado",1900,119,488,123,352,120,81,70,48,34,7,13,0,92,0,92,1412,152,1176,155,211,95,11,18,0,92,14,23,0,92,0,92
1400000US08031003203,08031003203,"Census Tract 32.03, Denver County, Colorado",1241,88,788,82,394,70,174,59,99,51,86,53,24,32,11,17,453,93,302,91,151,67,0,92,0,92,0,92,0,92,0,92
1400000US08031003300,08031003300,"Census Tract 33, Denver County, Colorado",1392,103,735,92,332,83,84,45,283,59,13,17,4,8,19,27,657,113,424,101,228,84,0,92,5,9,0,92,0,92,0,92
1400000US08031003401,08031003401,"Census Tract 34.01, Denver County, Colorado",1304,79,577,93,353,73,131,73,80,24,9,13,4,8,0,92,727,103,581,122,108,74,0,92,38,53,0,92,0,92,0,92
1400000US08031003402,08031003402,"Census Tract 34.02, Denver County, Colorado",1917,97,1170,116,632,117,257,85,219,76,50,35,12,19,0,92,747,130,591,125,123,65,33,36,0,92,0,92,0,92,0,92
1400000US08031003500,08031003500,"Census Tract 35, Denver County, Colorado",1823,93,1329,128,419,130,169,85,281,118,225,78,101,66,134,78,494,124,326,106,82,49,61,61,25,38,0,92,0,92,0,92
1400000US08031003601,08031003601,"Census Tract 36.01, Denver County, Colorado",1622,84,1053,152,321,109,304,103,240,124,82,55,45,42,61,58,569,124,464,107,85,57,6,10,14,22,0,92,0,92,0,92
1400000US08031003602,08031003602,"Census Tract 36.02, Denver County, Colorado",1477,91,916,123,215,64,210,93,149,72,229,107,62,44,51,37,561,102,341,92,156,62,64,72,0,92,0,92,0,92,0,92
1400000US08031003603,08031003603,"Census Tract 36.03, Denver County, Colorado",1379,135,790,146,344,113,262,89,137,80,22,26,25,28,0,92,589,136,358,98,197,113,34,31,0,92,0,92,0,92,0,92
1400000US08031003701,08031003701,"Census Tract 37.01, Denver County, Colorado",1356,116,494,88,319,92,127,65,34,25,14,15,0,92,0,92,862,140,695,140,167,60,0,92,0,92,0,92,0,92,0,92
1400000US08031003702,08031003702,"Census Tract 37.02, Denver County, Colorado",2658,163,670,139,407,119,117,90,120,41,26,24,0,92,0,92,1988,208,1573,223,356,133,38,34,0,92,21,30,0,92,0,92
